k,beta_ref,sqrt_lambda_value,lambda_value,error_rel,error_abs
0,0.066136959,0.06613695904451328,0.004374097351655627,6.730470015913648e-10,4.4513281949321026e-11
1,0.28175138,0.28174250870863576,0.0793788412134357,3.148623926609313e-05,8.871291364231926e-06
2,0.555869353,0.5558698717637468,0.30899131433464433,9.332476130383998e-07,5.187637468484496e-07
3,0.868248673,0.8682439499340019,0.7538475565969975,5.439761838922091e-06,4.723065998080145e-06
4,1.504114125,1.5041139699699269,2.262358834658694,1.0307068502755551e-07,1.5503007322337226e-07
5,1.725183114,1.7252596926363315,2.976521007035609,4.438870037043576e-05,7.657863633148132e-05
6,1.831271203,1.831267929898219,3.3535422310737086,1.7873386397278843e-06,3.2731017809428664e-06
7,2.01742448,2.0174227816393127,4.0699946798773015,8.418459793829576e-07,1.6983606871967538e-06
8,2.092834951,2.092837042770219,4.379966887591197,9.994912490636743e-07,2.0917702192591037e-06
9,2.524926754,2.524927313875301,6.375257940353542,2.2173922467272587e-07,5.598753007873825e-07
11,3.851497776,3.851477234958053,14.83387689140013,5.333260757653611e-06,2.054104194693096e-05
12,4.571886169,4.571556651552703,20.899130218355758,7.207472695439635e-05,0.0003295174472972562
13,4.72473915,4.724739892029763,22.32316704733742,1.5705200634576585e-07,7.420297629678885e-07
14,7.408061012,7.407963149728111,54.87791802772964,1.3210241077965e-05,9.786227188879337e-05
