k,d,nb_Ds_found,best_D,max_err,avg_err,all_Ds
1,53,1,78790,7.91710016513120e-9,4.17365948394818e-9,[78790]
5,1325,4,78881,7.97727085558296e-9,4.02359068367356e-9,"[78881, 78778, 79222, 79409]"
6,1908,1,79337,8.89024356880326e-9,3.04722190117868e-9,[79337]
9,4293,2,78958,9.46613654301706e-9,4.23838054225816e-9,"[78958, 78212]"
11,6413,2,79433,7.55098084290954e-9,3.14860451695818e-9,"[79433, 78433]"
12,7632,1,78155,9.41303738483769e-9,4.11747330879480e-9,[78155]
15,11925,1,78927,9.90405737576152e-9,3.61907525865895e-9,[78927]
19,19133,2,79180,5.94672381359238e-9,2.95635504835403e-9,"[79180, 78108]"
20,21200,2,79184,8.80108960909889e-9,3.56480684444175e-9,"[79184, 78437]"
22,25652,1,78307,9.18848306212802e-9,4.44997095152264e-9,[78307]
25,33125,2,78602,8.50425510249391e-9,3.94240585420014e-9,"[78602, 78629]"
30,47700,1,78155,7.84530683859501e-9,3.67927219528437e-9,[78155]
